TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
47937746;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937747;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937748;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937749;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937750;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937751;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937752;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937753;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937754;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937755;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937756;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937757;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937758;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937759;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937760;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937761;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937762;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937763;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937764;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937765;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937766;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937767;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937768;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937769;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937770;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937771;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937772;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937773;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937774;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937775;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937776;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937777;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937778;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937779;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937780;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937781;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47937782;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937783;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937784;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937785;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937786;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937787;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937788;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937789;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937790;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937791;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937792;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937793;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937794;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937795;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937796;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937797;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937798;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937799;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937800;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937801;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937802;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937803;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937804;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937805;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937806;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937807;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937808;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937809;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937810;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937811;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937812;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937813;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937814;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937815;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937816;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937817;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937818;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937819;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937820;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937821;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937822;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937823;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937824;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937825;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937826;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937827;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937828;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937829;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937830;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937831;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937832;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937833;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937834;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937835;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937836;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937837;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937838;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937839;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937840;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937841;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937842;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937843;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937844;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937845;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937846;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937847;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937848;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937849;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937850;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937851;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937852;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937853;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937854;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937855;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937856;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937857;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937858;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937859;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937860;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937861;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937862;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937863;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937864;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937865;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937866;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937867;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937868;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937869;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937870;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937871;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937872;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937873;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937874;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937875;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937876;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937877;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937878;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937879;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937880;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937881;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937882;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937883;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937884;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937885;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937886;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937887;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937888;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937889;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937890;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937891;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937892;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937893;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937894;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937895;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937896;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937897;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937898;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937899;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937900;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937901;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937902;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937903;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937904;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937905;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937906;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937907;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937908;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937909;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937910;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937911;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937912;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937913;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937914;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937915;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937916;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937917;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937918;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937919;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937920;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937921;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937922;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937923;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937924;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937925;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937926;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937927;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937928;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937929;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937930;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937931;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937932;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937933;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937934;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937935;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937936;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937937;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937938;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937939;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937940;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937941;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937942;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937943;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937944;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937945;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937946;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937947;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937948;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937949;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937950;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937951;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937952;3m;1y;NE;D;;;0.0000;0.0000;0.0000
47937953;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937954;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937955;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937956;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937957;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937958;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937959;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937960;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937961;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937962;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937963;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937964;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937965;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937966;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937967;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937968;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937969;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937970;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937971;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937972;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937973;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937974;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937975;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937976;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937977;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937978;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937979;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937980;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937981;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937982;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937983;3m;1y;NE;D;;;0.0000;0.0000;0.0000
47937984;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937985;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937986;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937987;3m;1y;NE;D;;;0.0000;0.0000;0.0000
47937988;1y;3m;NE;D;;;0.0000;0.0000;0.0000
47937989;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937990;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937991;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937992;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937993;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937994;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937995;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937996;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937997;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47937998;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47937999;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938000;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938001;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938002;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938003;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938004;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938005;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938006;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938007;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938008;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938009;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938010;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938011;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938012;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938013;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938014;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938015;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938016;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938017;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938018;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938019;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938020;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938021;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938022;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938023;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938024;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938025;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938026;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938027;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938028;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938029;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938030;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938031;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938032;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938033;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938034;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938035;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938036;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938037;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938038;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938039;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938040;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938041;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938042;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938043;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938044;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938045;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938046;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938047;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938048;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938049;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938050;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938051;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938052;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938053;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938054;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938055;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938056;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938057;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938058;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938059;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938060;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938061;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938062;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938063;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938064;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938065;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938066;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938067;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938068;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938069;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938070;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938071;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938072;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938073;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938074;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938075;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938076;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938077;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938078;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938079;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938080;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938081;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938082;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938083;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938084;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938085;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938086;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938087;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938088;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938089;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938090;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938091;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938092;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938093;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938094;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938095;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938096;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938097;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47938098;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938099;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938100;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938101;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938102;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938103;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938104;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938105;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938106;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938107;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938108;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938109;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938110;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938111;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938112;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938113;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938114;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938115;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938116;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938117;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938118;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938119;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938120;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938121;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938122;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938123;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938124;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938125;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938126;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938127;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938128;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938129;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938130;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938131;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938132;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938133;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938134;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938135;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938136;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938137;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938138;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938139;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938140;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938141;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938142;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938143;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938144;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938145;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938146;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938147;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938148;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938149;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938150;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938151;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938152;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938153;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938154;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938155;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938156;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938157;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938158;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938159;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938160;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938161;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47938162;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938163;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938164;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938165;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938166;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47938167;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938168;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938169;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938170;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938171;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938172;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938173;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938174;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938175;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938176;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938177;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938178;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47938179;3m;3m;NE;C;;;0.0000;0.0000;0.0000
